Run	actual_sex	actual_sex_zw	SCiMS sample ID	Rx	Ry
S453F150	female	male	S453F150	0.9954	0
S453F200	female	male	S453F200	0.44	0
S453F250	female	male	S453F250	0.5338	0
S453F300	female	male	S453F300	0.8847	0
S453F350	female	male	S453F350	0.8293	0
S453F400	female	male	S453F400	0.7867	0
S453F450	female	male	S453F450	0.4947	0
S453F1000	female	male	S453F1000	0.6958	0
S453F5000	female	male	S453F5000	0.8736	0
S453F10000	female	male	S453F10000	0.9252	0
S453F100000	female	male	S453F100000	0.8635	0.014
S453F1000000	female	male	S453F1000000	0.8479	0.0127
S453M200	male	female	S453M200	0.1973	0
S453M250	male	female	S453M250	0	2.7267
S453M300	male	female	S453M300	0.2534	0.9089
S453M350	male	female	S453M350	0.9844	0.2727
S453M400	male	female	S453M400	0.701	0
S453M450	male	female	S453M450	0.3904	0
S453M1000	male	female	S453M1000	0.2539	0.9915
S453M5000	male	female	S453M5000	0.5036	0.4305
S453M10000	male	female	S453M10000	0.3828	0.5811
S453M100000	male	female	S453M100000	0.4291	0.5262
S453M1000000	male	female	S453M1000000	0.4166	0.4907
S454F150	female	male	S454F150	1.4865	0
S454F200	female	male	S454F200	0.9114	0
S454F250	female	male	S454F250	0.3673	0
S454F300	female	male	S454F300	0.7427	0
S454F350	female	male	S454F350	1.3069	0
S454F400	female	male	S454F400	0.5737	0
S454F450	female	male	S454F450	0.7542	0
S454F1000	female	male	S454F1000	0.6619	0
S454F5000	female	male	S454F5000	0.8058	0.03
S454F10000	female	male	S454F10000	0.8172	0
S454F100000	female	male	S454F100000	0.8599	0.0071
S454F1000000	female	male	S454F1000000	0.8447	0.0147
S454M150	male	female	S454M150	0.268	0
S454M200	male	female	S454M200	0.1964	1.3633
S454M250	male	female	S454M250	0.2808	1.3633
S454M300	male	female	S454M300	0.2474	0.9089
S454M350	male	female	S454M350	0.4948	0
S454M400	male	female	S454M400	0.7268	0.3408
S454M450	male	female	S454M450	0.4326	0
S454M1000	male	female	S454M1000	0.601	0.6492
S454M5000	male	female	S454M5000	0.5399	0.3187
S454M10000	male	female	S454M10000	0.492	0.4758
S454M100000	male	female	S454M100000	0.427	0.5216
S454M1000000	male	female	S454M1000000	0.4192	0.4767
S455F200	female	male	S455F200	1.3154	0
S455F250	female	male	S455F250	0.502	0
S455F300	female	male	S455F300	1.3475	0
S455F350	female	male	S455F350	1.026	0
S455F400	female	male	S455F400	0.4447	0
S455F450	female	male	S455F450	0.7766	0
S455F1000	female	male	S455F1000	0.6835	0
S455F5000	female	male	S455F5000	0.8464	0
S455F10000	female	male	S455F10000	0.7847	0
S455F100000	female	male	S455F100000	0.8631	0.0057
S455F1000000	female	male	S455F1000000	0.85	0.0144
S455M150	male	female	S455M150	0.2435	0
S455M200	male	female	S455M200	0.6692	0.6817
S455M250	male	female	S455M250	0.4465	0.6817
S455M300	male	female	S455M300	0.3583	0
S455M350	male	female	S455M350	0.1118	0
S455M400	male	female	S455M400	0	2.7267
S455M450	male	female	S455M450	0.4491	0
S455M1000	male	female	S455M1000	0.4705	0.8521
S455M5000	male	female	S455M5000	0.4823	0.4544
S455M10000	male	female	S455M10000	0.407	0.4723
S455M100000	male	female	S455M100000	0.4161	0.4884
S455M1000000	male	female	S455M1000000	0.4187	0.4823
S456F150	female	male	S456F150	0.6636	0
S456F200	female	male	S456F200	0.2013	0
S456F250	female	male	S456F250	1.4545	0
S456F300	female	male	S456F300	0.2765	0
S456F350	female	male	S456F350	0.7994	0
S456F400	female	male	S456F400	0.9931	0
S456F450	female	male	S456F450	1.1647	0
S456F1000	female	male	S456F1000	0.9163	0
S456F5000	female	male	S456F5000	0.8277	0.0296
S456F10000	female	male	S456F10000	0.85	0.0565
S456F100000	female	male	S456F100000	0.8441	0.0116
S456F1000000	female	male	S456F1000000	0.8453	0.0123
S456M150	male	female	S456M150	0.2331	0
S456M200	male	female	S456M200	0.371	0
S456M250	male	female	S456M250	0	2.7267
S456M300	male	female	S456M300	0.2734	1.3633
S456M350	male	female	S456M350	0	2.7267
S456M400	male	female	S456M400	0.1086	0
S456M450	male	female	S456M450	0.5549	0.3895
S456M1000	male	female	S456M1000	0.3326	0.5453
S456M5000	male	female	S456M5000	0.494	0.3735
S456M10000	male	female	S456M10000	0.3478	0.5003
S456M100000	male	female	S456M100000	0.3994	0.4451
S456M1000000	male	female	S456M1000000	0.4203	0.4782
S457F150	female	male	S457F150	1.1939	0
S457F200	female	male	S457F200	1.0668	0
S457F250	female	male	S457F250	0.9087	0
S457F300	female	male	S457F300	1.5432	0
S457F350	female	male	S457F350	0.7885	0
S457F400	female	male	S457F400	0.322	0
S457F450	female	male	S457F450	1.212	0
S457F1000	female	male	S457F1000	0.8671	0
S457F5000	female	male	S457F5000	0.7868	0.0303
S457F10000	female	male	S457F10000	0.9276	0.0132
S457F100000	female	male	S457F100000	0.8343	0.016
S457F1000000	female	male	S457F1000000	0.8478	0.0121
S457M200	male	female	S457M200	0.5731	0
S457M250	male	female	S457M250	0.1641	1.3633
S457M300	male	female	S457M300	0.5085	0.5453
S457M350	male	female	S457M350	0.3511	1.3633
S457M400	male	female	S457M400	0.1944	0.9089
S457M450	male	female	S457M450	0.277	0.6817
S457M1000	male	female	S457M1000	0.5355	0.7175
S457M5000	male	female	S457M5000	0.4846	0.5453
S457M10000	male	female	S457M10000	0.4484	0.51
S457M100000	male	female	S457M100000	0.4331	0.4974
S457M1000000	male	female	S457M1000000	0.417	0.4846
S458F150	female	male	S458F150	1.9776	0
S458F200	female	male	S458F200	0.8943	0
S458F250	female	male	S458F250	0.5109	0
S458F300	female	male	S458F300	0.746	0
S458F350	female	male	S458F350	0.906	0
S458F400	female	male	S458F400	0.9448	0.303
S458F450	female	male	S458F450	1.0271	0
S458F1000	female	male	S458F1000	1.1729	0
S458F5000	female	male	S458F5000	0.7334	0.0321
S458F10000	female	male	S458F10000	0.9586	0
S458F100000	female	male	S458F100000	0.8493	0.0129
S458F1000000	female	male	S458F1000000	0.8462	0.0136
S458M150	male	female	S458M150	0.2409	0
S458M200	male	female	S458M200	1.0562	0.4544
S458M250	male	female	S458M250	0.6364	0.5453
S458M300	male	female	S458M300	0.1285	1.3633
S458M350	male	female	S458M350	0.4326	0
S458M400	male	female	S458M400	0.0951	1.3633
S458M450	male	female	S458M450	0.338	0.5453
S458M1000	male	female	S458M1000	0.3489	0.6817
S458M5000	male	female	S458M5000	0.4285	0.5137
S458M10000	male	female	S458M10000	0.4581	0.4411
S458M100000	male	female	S458M100000	0.4069	0.5609
S458M1000000	male	female	S458M1000000	0.4187	0.478
S459F150	female	male	S459F150	1.398	0
S459F200	female	male	S459F200	0.2062	0
S459F250	female	male	S459F250	0.7989	0
S459F300	female	male	S459F300	0.1304	0
S459F350	female	male	S459F350	0.5364	0
S459F400	female	male	S459F400	0.4234	0
S459F450	female	male	S459F450	0.9983	0
S459F1000	female	male	S459F1000	0.7101	0
S459F5000	female	male	S459F5000	0.817	0
S459F10000	female	male	S459F10000	0.7928	0
S459F100000	female	male	S459F100000	0.823	0.0089
S459F1000000	female	male	S459F1000000	0.8458	0.0142
S459M150	male	female	S459M150	1.0662	0
S459M200	male	female	S459M200	0.402	0
S459M250	male	female	S459M250	0.4586	0.6817
S459M300	male	female	S459M300	0.5286	0
S459M350	male	female	S459M350	0.1033	0
S459M400	male	female	S459M400	0.1832	0
S459M450	male	female	S459M450	0.2594	1.0907
S459M1000	male	female	S459M1000	0.5608	0.1704
S459M5000	male	female	S459M5000	0.5095	0.5653
S459M10000	male	female	S459M10000	0.4099	0.5204
S459M100000	male	female	S459M100000	0.4104	0.476
S459M1000000	male	female	S459M1000000	0.4205	0.4879
S460F200	female	male	S460F200	1.1291	0
S460F250	female	male	S460F250	0.3831	0
S460F300	female	male	S460F300	0.913	0
S460F350	female	male	S460F350	1.6227	0
S460F400	female	male	S460F400	0.8798	0
S460F450	female	male	S460F450	0.7947	0
S460F1000	female	male	S460F1000	0.9792	0
S460F5000	female	male	S460F5000	0.941	0.0262
S460F10000	female	male	S460F10000	0.9157	0.0135
S460F100000	female	male	S460F100000	0.8353	0.0204
S460F1000000	female	male	S460F1000000	0.8444	0.0133
S460M150	male	female	S460M150	0.2502	0
S460M200	male	female	S460M200	0.3971	1.3633
S460M250	male	female	S460M250	0.5461	0
S460M300	male	female	S460M300	0.5134	0
S460M350	male	female	S460M350	0.5817	0
S460M400	male	female	S460M400	0.2885	0
S460M450	male	female	S460M450	0.4835	0
S460M1000	male	female	S460M1000	0.1448	0.5453
S460M5000	male	female	S460M5000	0.3724	0.6258
S460M10000	male	female	S460M10000	0.3853	0.6341
S460M100000	male	female	S460M100000	0.4194	0.4919
S460M1000000	male	female	S460M1000000	0.4202	0.4804
S461F150	female	male	S461F150	0.74	0
S461F200	female	male	S461F200	1.2632	0
S461F250	female	male	S461F250	0.4555	0
S461F300	female	male	S461F300	1.0994	0
S461F350	female	male	S461F350	1.2006	0
S461F400	female	male	S461F400	0.5302	0
S461F450	female	male	S461F450	1.184	0
S461F1000	female	male	S461F1000	0.5989	0
S461F5000	female	male	S461F5000	0.8316	0
S461F10000	female	male	S461F10000	0.8521	0.0144
S461F100000	female	male	S461F100000	0.8007	0.0107
S461F1000000	female	male	S461F1000000	0.8548	0.013
S461M150	male	female	S461M150	0	2.7267
S461M200	male	female	S461M200	0.656	0
S461M250	male	female	S461M250	0.3039	0.9089
S461M300	male	female	S461M300	0.5089	0.5453
S461M350	male	female	S461M350	0.204	0
S461M400	male	female	S461M400	0.1878	0
S461M450	male	female	S461M450	0.5628	0.3895
S461M1000	male	female	S461M1000	0.4122	0
S461M5000	male	female	S461M5000	0.4552	0.5896
S461M10000	male	female	S461M10000	0.4444	0.3621
S461M100000	male	female	S461M100000	0.417	0.4986
S461M1000000	male	female	S461M1000000	0.4193	0.4885
S462F200	female	male	S462F200	0.5913	0
S462F250	female	male	S462F250	0.7773	0
S462F300	female	male	S462F300	1.7779	0
S462F350	female	male	S462F350	0.9719	0
S462F400	female	male	S462F400	1.1407	0
S462F450	female	male	S462F450	0.9838	0
S462F1000	female	male	S462F1000	0.7029	0.1704
S462F5000	female	male	S462F5000	0.9972	0
S462F10000	female	male	S462F10000	0.8192	0
S462F100000	female	male	S462F100000	0.8605	0.0057
S462F1000000	female	male	S462F1000000	0.8429	0.0151
S462M150	male	female	S462M150	1.0061	0
S462M250	male	female	S462M250	0.7311	0.7791
S462M300	male	female	S462M300	0.1508	0
S462M350	male	female	S462M350	0.7508	0.3408
S462M400	male	female	S462M400	0.195	0.9089
S462M450	male	female	S462M450	0.6924	0.303
S462M1000	male	female	S462M1000	0.5191	0.3636
S462M5000	male	female	S462M5000	0.4239	0.5784
S462M10000	male	female	S462M10000	0.3905	0.4544
S462M100000	male	female	S462M100000	0.4255	0.4642
S462M1000000	male	female	S462M1000000	0.421	0.4763
S463F150	female	male	S463F150	1.0082	0
S463F200	female	male	S463F200	1.6134	0
S463F250	female	male	S463F250	0.9201	0
S463F300	female	male	S463F300	0.7302	0
S463F350	female	male	S463F350	0.3765	0
S463F400	female	male	S463F400	1.3669	0
S463F450	female	male	S463F450	0.6544	0
S463F1000	female	male	S463F1000	1.1476	0
S463F5000	female	male	S463F5000	0.9013	0.0514
S463F10000	female	male	S463F10000	0.8313	0.0293
S463F100000	female	male	S463F100000	0.7912	0.0229
S463F1000000	female	male	S463F1000000	0.8479	0.0128
S463M150	male	female	S463M150	0.5721	0
S463M200	male	female	S463M200	1.2478	0
S463M250	male	female	S463M250	0.6771	0
S463M300	male	female	S463M300	0.5217	0
S463M350	male	female	S463M350	0.2337	1.8178
S463M400	male	female	S463M400	0.4611	0.7791
S463M450	male	female	S463M450	0.5818	0
S463M1000	male	female	S463M1000	0.1137	1.3633
S463M5000	male	female	S463M5000	0.3819	0.8449
